1;292;832
2;832;1249
3;1249;1648
4;1648;2064
5;2064;2444
6;2444;2846
7;2870;3254
8;3296;3333
8;3401;3451
8;3535;3585
8;3695;3740
9;3875;3930
9;4046;4102
9;4215;4270
9;4395;4438
10;4529;4580
10;4674;4722
10;4836;4888
11;5063;5123
11;5214;5263
11;5394;5467
12;5707;5852
13;6084;6169
13;8181;6266
13;6308;6398
13;6439;6519
13;6582;6668
15;6735;6790
15;6957;7028
16;7162;7217
16;7340;7396
17;7899;8264
17;8312;8386
17;8434;8552
18;8680;8748
18;8852;8904
19;9081;9199
19;9315;9391
20;9674;9761
20;9930;10006
