1;350;730
2;730;1125
3;1125;1784
4;1920;2311
6;2311;2370
6;2434;2480
5;2520;2549
5;2571;2612
5;2637;2666
6;2710;2757
6;2779;2811
6;2854;2890
6;2965;2996
7;3094;3485
8;3511;3540
8;3625;3672
8;3757;3824
8;4002;4088
9;4141;4198
9;4274;4331
9;4415;4473
9;4590;4671
10;4745;4802
10;4912;4992
10;5139;5228
11;5318;5413
11;5501;5565
11;5694;5739
12;5971;6115
13;6326;6379
13;6438;6492
14;6538;6929
15;7004;7089
15;7252;7291
16;7416;7486
16;7570;7652
17;8415;8474
17;8538;8607
17;8684;8745
18;8824;8877
18;8969;9053
19;9231;9309
19;9448;9518
19;9636;9721
20;9855;9956
20;10099;10180
