1;0;880
2;897;1293
3;1302;1687
4;1706;2092
5;2112;2162
5;2196;2242
5;2267;2317
5;2348;2396
5;2415;2462
6;2485;2534
6;2571;2615
6;2639;2674
6;2723;2760
6;2788;2839
6;2865;2900
7;2909;3288
8;3298;3343
8;3441;3489
8;3642;3685
8;3871;3907
9;3981;4025
9;4179;4232
9;4396;4435
10;4539;4578
10;4733;4783
10;4963;5004
11;5155;5209
11;5341;5400
11;5533;5576
12;5742;5909
13;6187;6232
13;6297;6332
14;6393;6715
15;6766;6832
15;7034;7089
16;7246;7321
17;8465;8533
17;8639;8707
18;8887;9016
18;9127;9215
19;9342;9407
19;9636;9689
20;10003;10066
