1;1076;1403
2;1425;1821
3;1838;2221
4;2251;2641
5;2652;2701
5;2725;2777
5;2791;2842
5;2858;2909
5;2935;2985
6;3030;3080
6;3088;3138
6;3180;3222
6;3289;3339
6;3398;3438
7;3440;3816
8;3834;3892
8;4039;4084
8;4212;4261
9;4476;4526
9;4636;4711
9;4822;4878
10;5080;5132
10;5268;5321
10;5481;5541
10;5705;5770
11;5884;5928
11;6101;6156
12;6301;6432
13;6700;6758
13;6777;6881
14;6919;7327
15;7345;7450
16;7700;7770
16;7946;8013
17;8993;9099
17;9145;9242
18;9295;9417
18;9490;9653
19;9741;9849
19;10030;10195
20;10329;10515
