1;373;765
2;766;1163
3;1164;1587
4;1588;2005
5;2025;2063
5;2100;2133
5;2177;2215
5;2259;2300
5;2325;2361
6;2384;2420
6;2447;2484
6;2530;2560
6;2598;2629
6;2660;2695
6;2746;2781
7;2804;3204
8;3205;3292
8;3411;3499
8;3656;3746
9;3848;3922
9;4048;4127
10;4401;4487
10;4647;4739
11;4992;5082
11;5218;5310
12;5623;5801
13;5997;6067
13;6119;6191
14;6215;6551
15;6630;6755
15;6856;6969
16;7051;7149
16;7278;7360
14;7417;7475
17;8040;8095
17;8127;8233
17;8271;8412
18;8472;8555
18;8637;8724
19;8892;8994
19;9165;9265
20;9499;9617
20;9766;9860
