1;555;693
1;743;911
2;958;1052
2;1116;1174
2;1201;1219
2;1289;1313
3;1335;1691
4;1756;2140
5;2143;2186
5;2213;2253
5;2270;2311
5;2324;2360
5;2374;2412
5;2423;2455
5;2467;2500
6;2511;2551
6;2574;2607
6;2619;2655
6;2667;2709
6;2711;2748
6;2762;2795
6;2809;2840
6;2870;2903
7;2927;3311
8;3373;3433
8;3694;3741
9;3972;4030
9;4213;4263
10;4538;4590
10;4791;4838
11;5143;5195
11;5436;5487
12;5786;5945
13;6148;6268
14;6343;6764
15;6777;6879
16;7067;7226
17;8610;8681
17;8779;8854
18;8957;9166
18;9181;9347
19;9372;9510
19;9648;9795
20;9988;10187
