1;299;689
2;699;1072
3;1161;1485
4;1589;1893
5;1900;1967
5;1975;2021
5;2028;2068
5;2082;2120
5;2133;2170
5;2190;2231
6;2302;2345
6;2360;2395
6;2416;2456
6;2475;2512
6;2531;2572
6;2610;2660
7;2726;3096
8;3141;3184
8;3246;3287
8;3375;3419
9;3722;3769
10;3965;4014
10;4288;4336
10;4606;4658
11;4970;5021
11;5246;5292
12;5562;5688
13;5946;6029
14;6148;6560
15;6591;6690
16;6935;7027
17;8010;8086
17;8094;8174
17;8218;8311
18;8446;8663
18;8703;8852
19;8910;9079
19;9240;9396
20;9497;9647
