1;0;216
1;286;449
1;594;959
2;960;1343
3;1344;1746
4;1747;2153
5;2169;2210
5;2234;2274
5;2304;2344
5;2368;2404
5;2432;2460
5;2492;2540
6;2582;2617
6;2643;2677
6;2699;2736
6;2757;2797
6;2828;2861
6;2890;2927
7;2938;3358
8;3359;3439
8;3581;3640
8;3788;3845
9;4011;4085
9;4240;4309
9;4432;4499
10;4611;4668
10;4812;4867
10;5013;5084
11;5236;5305
11;5435;5508
11;5677;5743
12;5782;5981
13;6134;6191
13;6237;6309
14;6384;6787
15;6823;6917
15;7026;7129
16;7252;7375
13;7475;7564
14;7596;7681
17;8337;8381
17;8383;8434
17;8445;8527
17;8544;8595
17;8623;8692
18;8812;8906
18;8944;9046
19;9190;9323
19;9522;9622
20;9870;10000
