1;380;726
2;753;1133
3;1164;1541
4;1572;1957
5;1980;2043
5;2073;2135
5;2162;2214
5;2256;2300
6;2358;2412
6;2434;2496
6;2524;2575
6;2609;2659
6;2700;2749
7;2762;3607
8;3999;4024
8;4102;4154
8;4234;4296
8;4387;4466
9;4640;4701
9;4827;4883
9;5012;5088
10;5218;5266
10;5395;5452
10;5555;5606
10;5727;5774
11;5840;5886
11;6006;6060
11;6177;6238
11;6329;6383
11;6556;6597
12;6917;7033
13;7264;7319
13;7330;7407
13;7421;7479
14;7513;7901
15;7942;7990
15;8102;8150
16;8344;8395
16;8509;8564
17;9391;9468
17;9543;9612
17;9702;9765
18;9877;9926
18;10015;10059
18;10142;10187
19;10243;10307
19;10439;10484
19;10620;10669
20;10888;10944
20;11141;11188
