1;4175;4514
2;4526;4910
3;4923;5307
4;5343;5728
5;5742;5796
5;5840;5944
5;5980;6041
6;6149;6203
6;6222;6296
6;6315;6375
6;6400;6476
7;6536;6921
8;6942;6983
8;7105;7146
8;7365;7421
9;7586;7625
9;7772;7810
9;8138;8187
9;8426;8476
10;8755;8806
11;9041;9083
12;9380;9541
13;9647;9711
13;9759;9815
13;9849;9929
14;9976;10383
15;10408;10491
16;10775;10853
17;12048;12136
17;12165;12279
17;12333;12368
18;12408;12508
18;12517;12619
18;12633;12777
19;12840;12923
19;13111;13229
20;13413;13524
20;13706;13870
