1;134;581
2;582;964
3;965;1382
4;1383;1807
5;1808;1915
5;1916;1962
5;1963;2015
5;2016;2058
5;2059;2108
5;2109;2153
6;2154;2200
6;2201;2243
6;2244;2283
6;2284;2331
6;2332;2375
6;2376;2428
6;2429;2468
6;2469;2505
6;2506;2555
7;2556;2991
8;2992;3058
8;3113;3214
8;3237;3343
8;3369;3446
8;3447;3595
9;3596;3750
9;3814;3979
9;4035;4185
10;4215;4387
10;4435;4569
11;4647;4903
11;4961;5165
11;5200;5332
12;5431;5590
13;5738;5859
13;5860;5938
13;5939;6056
14;6091;6427
15;6428;6632
15;6669;6811
16;6885;7091
